str;data;rozmiar
parenting.stackexchange.com.7z;02-Dec-2018 17:59;30.3M
security.meta.stackexchange.com.7z;02-Dec-2018 18:28;3.9M
stackoverflow.com-Comments.7z;02-Dec-2018 19:27;3.8G
academia.meta.stackexchange.com.7z;02-Dec-2018 15:45;3.7M
iot.stackexchange.com.7z;02-Dec-2018 17:00;3.7M
photo.meta.stackexchange.com.7z;02-Dec-2018 18:00;3.6M
anime.meta.stackexchange.com.7z;02-Dec-2018 15:47;3.5M
apple.meta.stackexchange.com.7z;02-Dec-2018 15:47;3.5M
chemistry.meta.stackexchange.com.7z;02-Dec-2018 16:00;3.5M
gis.meta.stackexchange.com.7z;02-Dec-2018 16:50;3.5M
interpersonal.meta.stackexchange.com.7z;02-Dec-2018 17:00;3.5M
quantumcomputing.stackexchange.com.7z;02-Dec-2018 18:15;3.5M
stackexchange_meta.xml;03-Dec-2018 11:53;3.3K
islam.meta.stackexchange.com.7z;02-Dec-2018 17:00;3.2M
ebooks.stackexchange.com.7z;02-Dec-2018 16:18;3.1M
crafts.stackexchange.com.7z;02-Dec-2018 16:11;3.0M
gamedev.meta.stackexchange.com.7z;02-Dec-2018 16:45;3.0M
networkengineering.stackexchange.com.7z;02-Dec-2018 17:58;29.0M
joomla.meta.stackexchange.com.7z;02-Dec-2018 17:02;289.5K
english.stackexchange.com.7z;02-Dec-2018 16:36;283.9M
poker.meta.stackexchange.com.7z;02-Dec-2018 18:08;282.1K
mathoverflow.net.7z;02-Dec-2018 17:48;281.3M
datascience.stackexchange.com.7z;02-Dec-2018 16:13;28.5M
rus.stackexchange.com.7z;02-Dec-2018 18:23;28.4M
buddhism.stackexchange.com.7z;02-Dec-2018 16:00;28.3M
emacs.stackexchange.com.7z;02-Dec-2018 16:28;28.1M
law.stackexchange.com.7z;02-Dec-2018 17:05;28.0M
tor.meta.stackexchange.com.7z;03-Dec-2018 05:21;266.9K
meta.stackexchange.com.7z;02-Dec-2018 17:52;262.7M
boardgames.stackexchange.com.7z;02-Dec-2018 16:00;26.5M
quant.stackexchange.com.7z;02-Dec-2018 18:15;25.9M
anime.stackexchange.com.7z;02-Dec-2018 15:47;25.7M
softwareengineering.stackexchange.com.7z;02-Dec-2018 18:41;246.8M
ebooks.meta.stackexchange.com.7z;02-Dec-2018 16:18;243.9K
gardening.stackexchange.com.7z;02-Dec-2018 16:50;24.9M
sqa.stackexchange.com.7z;02-Dec-2018 18:42;23.4M
french.stackexchange.com.7z;02-Dec-2018 16:45;23.2M
codegolf.stackexchange.com.7z;02-Dec-2018 16:05;224.8M
gis.stackexchange.com.7z;02-Dec-2018 16:54;220.9M
interpersonal.stackexchange.com.7z;02-Dec-2018 17:00;22.9M
fitness.stackexchange.com.7z;02-Dec-2018 16:44;22.6M
stackoverflow.com-PostHistory.7z;03-Dec-2018 01:53;22.4G
stackoverflow.com-Badges.7z;02-Dec-2018 18:44;211.1M
beer.meta.stackexchange.com.7z;02-Dec-2018 15:57;210.8K
scicomp.stackexchange.com.7z;02-Dec-2018 18:25;21.5M
elementaryos.meta.stackexchange.com.7z;02-Dec-2018 16:24;201.2K
korean.meta.stackexchange.com.7z;02-Dec-2018 17:04;200.4K
sound.stackexchange.com.7z;02-Dec-2018 18:41;20.6M
linguistics.stackexchange.com.7z;02-Dec-2018 17:05;20.3M
outdoors.stackexchange.com.7z;02-Dec-2018 17:59;20.0M
coffee.stackexchange.com.7z;02-Dec-2018 16:10;2.9M
cooking.meta.stackexchange.com.7z;02-Dec-2018 16:10;2.9M
graphicdesign.meta.stackexchange.com.7z;02-Dec-2018 16:54;2.9M
mathematica.meta.stackexchange.com.7z;02-Dec-2018 17:43;2.9M
wordpress.meta.stackexchange.com.7z;03-Dec-2018 05:31;2.8M
beer.stackexchange.com.7z;02-Dec-2018 15:57;2.7M
languagelearning.stackexchange.com.7z;02-Dec-2018 17:04;2.7M
android.meta.stackexchange.com.7z;02-Dec-2018 15:46;2.6M
dba.meta.stackexchange.com.7z;02-Dec-2018 16:13;2.6M
esperanto.stackexchange.com.7z;02-Dec-2018 16:41;2.6M
hermeneutics.meta.stackexchange.com.7z;02-Dec-2018 16:56;2.5M
ux.meta.stackexchange.com.7z;03-Dec-2018 05:28;2.5M
drupal.meta.stackexchange.com.7z;02-Dec-2018 16:16;2.4M
biology.meta.stackexchange.com.7z;02-Dec-2018 15:57;2.3M
cs.meta.stackexchange.com.7z;02-Dec-2018 16:12;2.3M
japanese.meta.stackexchange.com.7z;02-Dec-2018 17:02;2.3M
