"Id","TotalComment","ViewCount"
10889,5,449
10894,9,20346
10906,16,2955
10914,18,3603
10930,5,723
10933,5,267
10942,2,528
10951,10,838
10955,38,920
10961,5,771
10969,39,10663
10979,17,14962
10980,14,987
10984,6,1142
10986,16,10132
10989,6,616
11003,4,330
11005,10,1055
11008,47,49248
11027,3,6965
11031,12,706
11033,41,14844
11041,19,670
11042,7,716
11069,89,47612
11076,29,18789
11088,23,20400
11093,8,624
11095,8,1414
11107,21,7394
11113,14,906
11122,13,6505
11138,46,8403
11154,31,11418
11157,13,615
11165,12,5160
11186,11,508
11191,1,237
11196,6,707
11197,36,8492
11202,18,880
11203,8,1193
11213,5,371
11215,10,595
11218,35,13386
11226,14,4683
11231,7,1511
11238,4,1328
11241,5,743
11243,29,2142
11255,7,896
11267,16,4193
11268,12,934
11283,36,15019
11300,41,14410
11318,9,251
11322,4,1158
11339,23,5909
11347,2,146
11350,12,541
11352,15,3272
11373,4,597
11374,8,1271
11401,12,1035
11411,32,2927
11415,72,20255
11424,10,373
11431,20,9328
11437,2,340
11438,9,647
11454,4,498
11460,20,900
11467,49,44123
11490,28,3251
11500,23,5204
11506,9,775
11525,42,17484
11553,16,5872
11557,4,797
11564,13,758
11570,22,13481
11578,12,585
11585,4,1716
11594,5,274
11597,7,11667
11606,6,159
11611,9,1078
11613,38,8482
11627,29,4442
11630,20,712
11631,6,3484
11640,7,2626
11643,16,3581
11656,11,1326
11665,7,1131
11682,24,17280
11685,22,1053
11690,9,13156
11700,16,1259
11704,3,758
11714,5,827
11726,9,1221
11727,50,14096
11730,28,7342
11739,38,31445
11766,3,796
11785,30,29887
11787,11,1592
11790,13,21139
11813,20,844
11833,5,639
11839,19,7771
11843,10,5605
11850,6,7008
11853,45,42556
11861,17,2444
11869,40,2239
11871,34,30925
11875,3,589
11880,12,2478
11899,4,274
11910,10,379
11916,15,976
11936,30,9166
11946,37,1608
11962,17,1744
11968,14,680
11973,9,652
11981,4,1598
11982,19,16097
11987,2,1005
11993,3,2220
11994,17,2161
12002,9,1689
12006,15,2210
12021,7,1130
12025,11,1720
12026,4,655
12031,5,640
12034,18,866
12038,11,2612
12043,42,16706
12066,6,782
12072,20,463
12079,22,6599
12090,4,303
12115,28,14181
12122,22,5588
12130,11,802
12140,13,886
12141,62,30801
12149,38,13663
12182,21,1944
12183,38,3428
12189,7,546
12190,3,438
12195,7,438
12200,7,921
12211,14,1128
12215,2,193
12226,10,686
12227,6,785
12233,9,569
12242,15,1050
12243,9,1236
12255,12,824
12263,8,353
12264,45,12013
12276,21,524
12277,39,6748
12280,8,1398
12296,21,15291
12310,10,820
12312,10,357
12320,59,23801
12325,16,1371
12341,2,548
12374,3,524
12381,46,25159
12382,26,2858
12388,8,486
12395,11,3529
12406,12,421
12415,15,9225
12420,35,21533
12435,55,13379
12438,9,571
12455,18,2854
12464,7,1311
12466,6,930
12477,5,149
12480,11,668
12485,3,351
12491,34,19798
12496,11,635
12497,13,1330
12505,32,8630
12525,3,671
12528,49,12863
12554,1,235
12556,4,760
12560,7,472
12566,17,1645
12569,3,105
12571,18,6428
12572,11,1099
12591,9,572
12592,8,1179
12597,8,638
12604,17,2475
12606,13,518
12614,9,606
12627,13,979
12628,8,2595
12631,3,388
12635,9,612
12645,11,434
12646,9,909
12652,17,17470
12655,38,15308
12663,35,27938
12670,10,690
12688,22,9020
12695,40,13533
12702,8,1171
12705,7,598
12706,22,18758
12727,12,1379
12730,25,2325
12744,5,342
12760,49,43611
12764,2,280
12767,2,276
12783,7,8988
12796,13,2608
12802,13,1277
12808,28,17961
12816,17,6210
12822,5,517
12827,59,36360
12831,22,1230
12841,66,9025
12902,8,527
12906,22,2937
12920,4,2282
12927,32,10205
12940,6,653
12948,3,275
12960,11,560
12963,10,880
12964,7,454
