	Id	TotalCm	ViewCount
848	6800	5	3116.0
849	6804	5	1593.0
850	6810	14	2296.0
851	6812	7	1756.0
852	6814	40	18238.0
853	6817	22	9785.0
854	6826	6	5440.0
855	6827	59	9531.0
856	6831	9	1250.0
857	6844	12	9323.0
858	6863	6	1683.0
859	6880	17	15099.0
860	6882	16	9117.0
861	6898	37	6032.0
862	6916	17	8401.0
863	6928	15	4001.0
864	6930	6	1397.0
865	6936	6	285.0
866	6940	7	907.0
867	6941	6	868.0
868	6946	6	324.0
869	6953	12	1005.0
870	6979	32	2588.0
871	6982	16	2388.0
872	6984	12	1467.0
873	6985	9	550.0
874	6989	8	829.0
875	6999	18	8426.0
876	7010	25	9534.0
877	7030	18	18470.0
878	7034	6	1005.0
879	7037	15	15059.0
880	7044	24	4145.0
881	7052	30	13331.0
882	7064	23	8692.0
883	7074	17	1236.0
884	7078	11	917.0
885	7084	7	5420.0
886	7087	22	4037.0
887	7089	69	26690.0
888	7100	27	10386.0
889	7116	22	7154.0
890	7128	18	537.0
891	7130	27	6065.0
892	7131	15	800.0
893	7140	9	273.0
894	7141	6	769.0
895	7152	9	3731.0
896	7154	29	11096.0
897	7160	16	420.0
898	7173	6	125.0
899	7181	9	4846.0
900	7185	18	4151.0
901	7187	12	3274.0
902	7193	26	11632.0
903	7207	15	6054.0
904	7225	19	563.0
905	7227	5	1998.0
906	7240	3	1099.0
907	7245	12	1526.0
908	7246	10	323.0
909	7252	11	1444.0
910	7258	33	25452.0
911	7265	11	5997.0
912	7266	46	20632.0
913	7273	18	12376.0
914	7275	19	1766.0
915	7289	17	7391.0
916	7300	9	1138.0
917	7305	19	1213.0
918	7310	9	2013.0
919	7315	25	26726.0
920	7331	16	1082.0
921	7337	65	28026.0
922	7349	33	11486.0
923	7350	14	828.0
924	7371	26	2311.0
925	7379	13	3346.0
926	7384	14	769.0
927	7390	2	816.0
928	7400	12	1034.0
929	7413	24	5890.0
930	7432	18	9180.0
931	7439	30	4838.0
932	7440	10	4394.0
933	7441	13	936.0
934	7453	6	749.0
935	7467	7	666.0
936	7474	26	7764.0
937	7482	15	5389.0
938	7484	4	1926.0
939	7498	12	330.0
940	7507	8	298.0
941	7509	45	20819.0
942	7512	48	30742.0
943	7519	24	1855.0
944	7521	9	191.0
945	7525	16	2268.0
946	7531	3	1129.0
947	7532	8	427.0
948	7539	7	3278.0
949	7542	35	12224.0
950	7558	16	1410.0
951	7574	23	7403.0
952	7588	18	1384.0
953	7607	28	727.0
954	7620	8	811.0
955	7624	9	440.0
956	7633	12	942.0
957	7635	19	6724.0
958	7639	26	9669.0
959	7649	10	885.0
960	7652	33	23192.0
961	7661	34	10678.0
962	7670	19	1802.0
963	7673	15	4636.0
964	7677	12	2416.0
965	7689	7	526.0
966	7696	8	578.0
967	7698	17	11077.0
968	7699	11	870.0
969	7707	28	12939.0
970	7712	16	2909.0
971	7715	27	3059.0
972	7727	46	19904.0
973	7731	38	25699.0
974	7737	2	431.0
975	7744	17	577.0
976	7765	7	1968.0
977	7769	7	808.0
978	7773	11	595.0
979	7774	15	10242.0
980	7775	12	1416.0
981	7782	7	331.0
982	7808	10	509.0
983	7814	5	668.0
984	7823	13	3732.0
985	7824	3	675.0
986	7830	38	24741.0
987	7832	28	4790.0
988	7850	19	710.0
989	7861	3	921.0
990	7864	5	766.0
991	7866	6	838.0
992	7874	31	11677.0
993	7881	5	1235.0
994	7884	6	568.0
995	7886	7	736.0
996	7897	30	10834.0
997	7905	45	19081.0
998	7919	12	9919.0
999	7921	15	1571.0
1000	7942	4	921.0
1001	7949	12	5823.0
1002	7964	13	7834.0
1003	7970	6	4591.0
1004	7973	12	577.0
1005	7982	5	404.0
1006	7983	9	1355.0
1007	7988	33	1587.0
1008	7994	17	6794.0
1009	8007	36	23241.0
1010	8016	4	558.0
1011	8017	7	2179.0
1012	8028	39	10130.0
1013	8034	19	3813.0
1014	8043	9	14132.0
1015	8051	18	4943.0
1016	8057	24	11364.0
1017	8070	16	6767.0
1018	8085	6	1157.0
1019	8091	8	1197.0
1020	8094	9	790.0
1021	8095	15	15850.0
1022	8107	9	792.0
1023	8118	21	9602.0
1024	8123	51	4841.0
1025	8129	9	1276.0
1026	8130	5	2819.0
1027	8162	1	321.0
1028	8172	6	576.0
1029	8176	5	1960.0
1030	8181	3	1609.0
1031	8184	4	261.0
1032	8188	7	2076.0
1033	8190	13	1689.0
1034	8197	2	796.0
1035	8199	20	2298.0
1036	8212	28	2014.0
1037	8214	4	319.0
1038	8224	2	954.0
1039	8227	13	1731.0
1040	8232	1	287.0
1041	8236	6	11138.0
1042	8243	32	9220.0
1043	8247	12	6349.0
1044	8248	6	476.0
1045	8250	12	677.0
1046	8267	11	1439.0
1047	8270	11	2272.0
1048	8281	8	8783.0
1049	8285	7	1868.0
1050	8296	21	10805.0
1051	8301	13	2287.0
1052	8303	13	1567.0
1053	8312	8	901.0
1054	8314	26	4584.0
1055	8330	5	983.0
1056	8334	35	12384.0
1057	8360	5	1489.0
1058	8375	8	1888.0
1059	8376	6	206.0
1060	8377	16	4369.0
1061	8380	11	431.0
1062	8387	25	3721.0
1063	8391	8	859.0
1064	8396	3	1516.0
1065	8401	14	1242.0
1066	8408	4	134.0
1067	8410	4	869.0
1068	8422	10	2365.0
1069	8427	19	2288.0
1070	8433	7	325.0
1071	8437	17	3777.0
1072	8440	9	4444.0
1073	8444	6	343.0
1074	8448	38	13961.0
1075	8453	11	188.0
1076	8457	7	355.0
1077	8467	12	2519.0
1078	8473	41	9563.0
1079	8478	12	774.0
1080	8501	10	1462.0
1081	8503	4	652.0
1082	8515	5	304.0
1083	8522	5	878.0
1084	8523	35	20064.0
1085	8529	57	22231.0
1086	8534	1	250.0
1087	8536	16	3154.0
1088	8557	4	2853.0
1089	8574	18	5590.0
1090	8584	14	3377.0
1091	8587	18	574.0
1092	8588	9	897.0
1093	8589	11	1217.0
1094	8604	9	777.0
1095	8615	4	721.0
1096	8629	19	11496.0
1097	8635	53	28667.0
1098	8642	19	1208.0
1099	8647	15	1347.0
1100	8654	15	6524.0
1101	8662	3	226.0
1102	8665	43	12599.0
1103	8670	7	785.0
1104	8694	28	9959.0
1105	8697	11	570.0
1106	8699	4	576.0
1107	8711	25	32946.0
1108	8719	6	1027.0
1109	8720	18	1450.0
1110	8724	13	1952.0
1111	8738	22	2127.0
1112	8759	41	35146.0
1113	8767	4	344.0
1114	8772	18	1313.0
1115	8774	11	976.0
1116	8777	5	288.0
1117	8780	2	764.0
1118	8789	5	533.0
1119	8800	15	1638.0
1120	8809	22	373.0
1121	8820	56	12976.0
1122	8824	58	16409.0
1123	8833	2	144.0
1124	8845	10	5602.0
1125	8867	9	1130.0
1126	8868	11	425.0
1127	8891	5	326.0
1128	8895	6	171.0
1129	8900	16	21428.0
1130	8903	20	22949.0
1131	8916	38	9700.0
1132	8938	7	2151.0
1133	8947	19	7971.0
1134	8949	18	841.0
1135	8964	6	648.0
1136	8970	5	1448.0
1137	8974	9	427.0
1138	8982	62	10969.0
1139	8989	27	469.0
1140	8994	41	32784.0
1141	9013	12	397.0
1142	9016	26	17129.0
1143	9036	16	1138.0
1144	9040	24	11072.0
